STAND, POSX, POSY, POSZ, POL, DELAY
173, -25.149, 22.994, 0.909, 0, 4.68267144385e-07
173, -25.149, 22.994, 0.909, 1, 4.7544986654e-07
151, -25.058, 47.762, 0.135, 0, 4.12278177772e-07
151, -25.058, 47.762, 0.135, 1, 4.06987342322e-07
222, -38.937, 14.198, 1.27, 0, 5.26053302628e-07
222, -38.937, 14.198, 1.27, 1, 5.23974040562e-07
150, 24.62, 46.137, -0.129, 0, 2.84991879067e-07
150, 24.62, 46.137, -0.129, 1, 2.84852858638e-07
203, -32.628, 32.437, 0.567, 0, 4.62938027947e-07
203, -32.628, 32.437, 0.567, 1, 4.57346988962e-07
258, 338.911, 19.778, 1.67, 0, 1.22721207808e-06
258, 338.911, 19.778, 1.67, 1, 1.24587790259e-06
35, 241.373, -58.617, 2.882, 0, 9.9349955765e-07
35, 241.373, -58.617, 2.882, 1, 9.98992498991e-07
108, 13.358, 7.672, 1.216, 0, 2.83863597325e-07
108, 13.358, 7.672, 1.216, 1, 3.0695509203e-07
99, -14.845, -21.896, 2.209, 0, 4.63276512469e-07
99, -14.845, -21.896, 2.209, 1, 4.63506198395e-07
97, -17.441, -26.162, 2.377, 0, 4.99107516904e-07
97, -17.441, -26.162, 2.377, 1, 4.9985097398e-07
8, 0.386, -10.796, 1.817, 0, 4.09203610028e-07
8, 0.386, -10.796, 1.817, 1, 4.07188821204e-07
168, 24.262, 8.614, 1.177, 0, 2.87288738325e-07
168, 24.262, 8.614, 1.177, 1, 2.85314245278e-07
129, -21.645, -21.14, 2.257, 0, 4.87431815673e-07
129, -21.645, -21.14, 2.257, 1, 4.82157098533e-07
155, -27.056, -30.533, 2.403, 0, 5.23974040562e-07
155, -27.056, -30.533, 2.403, 1, 5.23714132804e-07
32, 4.505, -13.821, 1.962, 0, 4.27336709438e-07
32, 4.505, -13.821, 1.962, 1, 4.26913603785e-07
69, -11.091, -13.709, 2.005, 0, 4.30765880015e-07
69, -11.091, -13.709, 2.005, 1, 4.32047285707e-07
101, -15.178, -16.874, 2.119, 0, 4.60578710235e-07
101, -15.178, -16.874, 2.119, 1, 4.56480629768e-07
185, -31.386, -25.415, 2.307, 0, 5.34563770618e-07
185, -31.386, -25.415, 2.307, 1, 5.34297818493e-07
142, 18.517, 15.186, 1.01, 0, 2.63953454173e-07
142, 18.517, 15.186, 1.01, 1, 2.60729792055e-07
7, 0.047, -16.578, 2.02, 0, 4.25855839653e-07
7, 0.047, -16.578, 2.02, 1, 4.27125156612e-07
242, -40.579, 20.175, 1.05, 0, 5.14274847167e-07
242, -40.579, 20.175, 1.05, 1, 5.11756361137e-07
85, -8.671, 34.357, 0.385, 0, 3.64011896719e-07
85, -8.671, 34.357, 0.385, 1, 3.63653264309e-07
205, -35.119, 39.387, 0.354, 0, 4.77825302563e-07
205, -35.119, 39.387, 0.354, 1, 4.7546799964e-07
